Message,Extracted,Expected
Authentication code: 91196. Keep it safe.,nan,91196
Authentication code: 128341. Keep it safe.,nan,128341
623859 - confirmation code for secure access.,nan,623859
463976 - confirmation code for secure access.,nan,463976
Authentication code: 669357. Keep it safe.,nan,669357
Authentication code: 65934. Keep it safe.,nan,65934
"Hi, your verification PIN is 2055.",nan,2055
Authentication code: 374801. Keep it safe.,nan,374801
526179 - confirmation code for secure access.,nan,526179
Authentication code: 366004. Keep it safe.,nan,366004
Authentication code: 618456. Keep it safe.,nan,618456
732663 - confirmation code for secure access.,nan,732663
Authentication code: 369959. Keep it safe.,nan,369959
725139 - confirmation code for secure access.,nan,725139
Authentication code: 670396. Keep it safe.,nan,670396
Authentication code: 660443. Keep it safe.,nan,660443
476745 - confirmation code for secure access.,nan,476745
Authentication code: 841257. Keep it safe.,nan,841257
Authentication code: 644830. Keep it safe.,nan,644830
Authentication code: 973238. Keep it safe.,nan,973238
167779 - confirmation code for secure access.,nan,167779
Authentication code: 663113. Keep it safe.,nan,663113
423700 - confirmation code for secure access.,nan,423700
222018 - confirmation code for secure access.,nan,222018
Authentication code: 350682. Keep it safe.,nan,350682
Authentication code: 944626. Keep it safe.,nan,944626
Authentication code: 126961. Keep it safe.,nan,126961
Authentication code: 902055. Keep it safe.,nan,902055
Authentication code: 273914. Keep it safe.,nan,273914
167004 - confirmation code for secure access.,nan,167004
Authentication code: 36739. Keep it safe.,nan,36739
Authentication code: 497846. Keep it safe.,nan,497846
Authentication code: 758830. Keep it safe.,nan,758830
953220 - confirmation code for secure access.,nan,953220
Authentication code: 589155. Keep it safe.,nan,589155
233548 - confirmation code for secure access.,nan,233548
Authentication code: 297765. Keep it safe.,nan,297765
546341 - confirmation code for secure access.,nan,546341
Authentication code: 44096. Keep it safe.,nan,44096
Authentication code: 411020. Keep it safe.,nan,411020
932130 - confirmation code for secure access.,nan,932130
955547 - confirmation code for secure access.,nan,955547
Authentication code: 875692. Keep it safe.,nan,875692
89150 - confirmation code for secure access.,nan,89150
595188 - confirmation code for secure access.,nan,595188
442508 - confirmation code for secure access.,nan,442508
7092 - confirmation code for secure access.,nan,7092
348300 - confirmation code for secure access.,nan,348300
283324 - confirmation code for secure access.,nan,283324
295184 - confirmation code for secure access.,nan,295184
382242 - confirmation code for secure access.,nan,382242
Authentication code: 198833. Keep it safe.,nan,198833
693511 - confirmation code for secure access.,nan,693511
259965 - confirmation code for secure access.,nan,259965
Authentication code: 953612. Keep it safe.,nan,953612
145408 - confirmation code for secure access.,nan,145408
179501 - confirmation code for secure access.,nan,179501
Authentication code: 186225. Keep it safe.,nan,186225
286830 - confirmation code for secure access.,nan,286830
533599 - confirmation code for secure access.,nan,533599
Authentication code: 528685. Keep it safe.,nan,528685
843942 - confirmation code for secure access.,nan,843942
449709 - confirmation code for secure access.,nan,449709
Authentication code: 813149. Keep it safe.,nan,813149
316761 - confirmation code for secure access.,nan,316761
868958 - confirmation code for secure access.,nan,868958
266852 - confirmation code for secure access.,nan,266852
771509 - confirmation code for secure access.,nan,771509
Authentication code: 741140. Keep it safe.,nan,741140
Authentication code: 182720. Keep it safe.,nan,182720
457986 - confirmation code for secure access.,nan,457986
Authentication code: 844453. Keep it safe.,nan,844453
492130 - confirmation code for secure access.,nan,492130
529288 - confirmation code for secure access.,nan,529288
728851 - confirmation code for secure access.,nan,728851
Authentication code: 312777. Keep it safe.,nan,312777
Authentication code: 454038. Keep it safe.,nan,454038
Authentication code: 926473. Keep it safe.,nan,926473
979253 - confirmation code for secure access.,nan,979253
Authentication code: 203212. Keep it safe.,nan,203212
"Hi, your verification PIN is 2049.",nan,2049
Authentication code: 320409. Keep it safe.,nan,320409
Authentication code: 856932. Keep it safe.,nan,856932
714612 - confirmation code for secure access.,nan,714612
Authentication code: 868661. Keep it safe.,nan,868661
927869 - confirmation code for secure access.,nan,927869
530342 - confirmation code for secure access.,nan,530342
Authentication code: 222092. Keep it safe.,nan,222092
Authentication code: 287578. Keep it safe.,nan,287578
289016 - confirmation code for secure access.,nan,289016
42020 - confirmation code for secure access.,nan,42020
Authentication code: 19702. Keep it safe.,nan,19702
Authentication code: 248906. Keep it safe.,nan,248906
752622 - confirmation code for secure access.,nan,752622
856524 - confirmation code for secure access.,nan,856524
Authentication code: 445320. Keep it safe.,nan,445320
791303 - confirmation code for secure access.,nan,791303
631645 - confirmation code for secure access.,nan,631645
Authentication code: 870659. Keep it safe.,nan,870659
334219 - confirmation code for secure access.,nan,334219
Authentication code: 292554. Keep it safe.,nan,292554
596034 - confirmation code for secure access.,nan,596034
Authentication code: 252262. Keep it safe.,nan,252262
937389 - confirmation code for secure access.,nan,937389
104540 - confirmation code for secure access.,nan,104540
Authentication code: 62775. Keep it safe.,nan,62775
Authentication code: 499312. Keep it safe.,nan,499312
Authentication code: 327304. Keep it safe.,nan,327304
684362 - confirmation code for secure access.,nan,684362
Authentication code: 949444. Keep it safe.,nan,949444
Authentication code: 422315. Keep it safe.,nan,422315
637333 - confirmation code for secure access.,nan,637333
Authentication code: 258201. Keep it safe.,nan,258201
945019 - confirmation code for secure access.,nan,945019
Authentication code: 697781. Keep it safe.,nan,697781
Authentication code: 94653. Keep it safe.,nan,94653
157219 - confirmation code for secure access.,nan,157219
Authentication code: 483134. Keep it safe.,nan,483134
695447 - confirmation code for secure access.,nan,695447
575134 - confirmation code for secure access.,nan,575134
Authentication code: 150044. Keep it safe.,nan,150044
Authentication code: 612999. Keep it safe.,nan,612999
8974 - confirmation code for secure access.,nan,8974
Authentication code: 670952. Keep it safe.,nan,670952
524706 - confirmation code for secure access.,nan,524706
97437 - confirmation code for secure access.,nan,97437
829909 - confirmation code for secure access.,nan,829909
Authentication code: 528812. Keep it safe.,nan,528812
Authentication code: 787372. Keep it safe.,nan,787372
Authentication code: 737197. Keep it safe.,nan,737197
Authentication code: 179688. Keep it safe.,nan,179688
333892 - confirmation code for secure access.,nan,333892
Authentication code: 860868. Keep it safe.,nan,860868
340458 - confirmation code for secure access.,nan,340458
394482 - confirmation code for secure access.,nan,394482
519253 - confirmation code for secure access.,nan,519253
Authentication code: 692710. Keep it safe.,nan,692710
Authentication code: 662875. Keep it safe.,nan,662875
123900 - confirmation code for secure access.,nan,123900
31930 - confirmation code for secure access.,nan,31930
227813 - confirmation code for secure access.,nan,227813
227636 - confirmation code for secure access.,nan,227636
Authentication code: 713641. Keep it safe.,nan,713641
Authentication code: 580604. Keep it safe.,nan,580604
803245 - confirmation code for secure access.,nan,803245
Authentication code: 203019. Keep it safe.,nan,203019
369814 - confirmation code for secure access.,nan,369814
854309 - confirmation code for secure access.,nan,854309
16069 - confirmation code for secure access.,nan,16069
584480 - confirmation code for secure access.,nan,584480
539891 - confirmation code for secure access.,nan,539891
Authentication code: 219797. Keep it safe.,nan,219797
110612 - confirmation code for secure access.,nan,110612
230412 - confirmation code for secure access.,nan,230412
Authentication code: 911015. Keep it safe.,nan,911015
475628 - confirmation code for secure access.,nan,475628
595691 - confirmation code for secure access.,nan,595691
818380 - confirmation code for secure access.,nan,818380
689866 - confirmation code for secure access.,nan,689866
189643 - confirmation code for secure access.,nan,189643
Authentication code: 308729. Keep it safe.,nan,308729
885028 - confirmation code for secure access.,nan,885028
Authentication code: 346326. Keep it safe.,nan,346326
295169 - confirmation code for secure access.,nan,295169
Authentication code: 253207. Keep it safe.,nan,253207
Authentication code: 790614. Keep it safe.,nan,790614
Authentication code: 984253. Keep it safe.,nan,984253
Authentication code: 998714. Keep it safe.,nan,998714
Authentication code: 518806. Keep it safe.,nan,518806
760282 - confirmation code for secure access.,nan,760282
584283 - confirmation code for secure access.,nan,584283
- Never share otp. Your otp to link Paytm Account to Airtel: 126238. Not You? Report https://ap.p-y.tm/ketLwD -,nan,126238
247617 - confirmation code for secure access.,nan,247617
Authentication code: 553542. Keep it safe.,nan,553542
- Never share otp. Your otp to link Paytm Account to Flipkart: 887713. Not You? Report https://ap.p-y.tm/fSlWYX -,nan,887713
<#>Paytm never calls for otp. Do not share it with anyone. Paytm For Business Login otp: 949323. Not You? Report https://ap.p-y.tm/vcRAVY ID: cIWSokveyWr,nan,949323
<#>Paytm never calls for otp. Do not share it with anyone. Paytm For Business Login otp: 158510. Not You? Report https://ap.p-y.tm/bKnMSL ID: cIWSokveyWr,nan,158510
