Message,Extracted,Expected
Use 26420 as your OTP to login. Rapido!.,nan,26420
Authentication code: 91196. Keep it safe.,nan,91196
Use 313713 as your OTP to login. Rapido!.,nan,313713
Use 597799 as your OTP to login. Rapido!.,nan,597799
Use 841534 as your OTP to login. Rapido!.,nan,841534
Use 546073 as your OTP to login. Rapido!.,nan,546073
Use 634120 as your OTP to login. Rapido!.,nan,634120
Use 121280 as your OTP to login. Rapido!.,nan,121280
Authentication code: 128341. Keep it safe.,nan,128341
Use 907484 as your OTP to login. Rapido!.,nan,907484
623859 - confirmation code for secure access.,nan,623859
463976 - confirmation code for secure access.,nan,463976
Use 40235 as your OTP to login. Rapido!.,nan,40235
Use 263651 as your OTP to login. Rapido!.,nan,263651
Authentication code: 669357. Keep it safe.,nan,669357
Authentication code: 65934. Keep it safe.,nan,65934
Use 698576 as your OTP to login. Rapido!.,nan,698576
Use 968181 as your OTP to login. Rapido!.,nan,968181
Use 496523 as your OTP to login. Rapido!.,nan,496523
"Hi, your verification PIN is 2055.",nan,2055
Use 337759 as your OTP to login. Rapido!.,nan,337759
Use 243959 as your OTP to login. Rapido!.,nan,243959
Authentication code: 374801. Keep it safe.,nan,374801
526179 - confirmation code for secure access.,nan,526179
Use 917431 as your OTP to login. Rapido!.,nan,917431
Authentication code: 366004. Keep it safe.,nan,366004
Authentication code: 618456. Keep it safe.,nan,618456
732663 - confirmation code for secure access.,nan,732663
Authentication code: 369959. Keep it safe.,nan,369959
725139 - confirmation code for secure access.,nan,725139
Use 279479 as your OTP to login. Rapido!.,nan,279479
Authentication code: 670396. Keep it safe.,nan,670396
Use 289321 as your OTP to login. Rapido!.,nan,289321
Authentication code: 660443. Keep it safe.,nan,660443
476745 - confirmation code for secure access.,nan,476745
Use 966313 as your OTP to login. Rapido!.,nan,966313
Authentication code: 841257. Keep it safe.,nan,841257
Use 972592 as your OTP to login. Rapido!.,nan,972592
Authentication code: 644830. Keep it safe.,nan,644830
Authentication code: 973238. Keep it safe.,nan,973238
Use 910051 as your OTP to login. Rapido!.,nan,910051
Use 214660 as your OTP to login. Rapido!.,nan,214660
167779 - confirmation code for secure access.,nan,167779
Authentication code: 663113. Keep it safe.,nan,663113
Use 529751 as your OTP to login. Rapido!.,nan,529751
423700 - confirmation code for secure access.,nan,423700
Use 732541 as your OTP to login. Rapido!.,nan,732541
222018 - confirmation code for secure access.,nan,222018
Authentication code: 350682. Keep it safe.,nan,350682
Use 284298 as your OTP to login. Rapido!.,nan,284298
Authentication code: 944626. Keep it safe.,nan,944626
Authentication code: 126961. Keep it safe.,nan,126961
Use 59356 as your OTP to login. Rapido!.,nan,59356
Authentication code: 902055. Keep it safe.,nan,902055
Authentication code: 273914. Keep it safe.,nan,273914
Use 304509 as your OTP to login. Rapido!.,nan,304509
167004 - confirmation code for secure access.,nan,167004
Authentication code: 36739. Keep it safe.,nan,36739
Authentication code: 497846. Keep it safe.,nan,497846
Use 303262 as your OTP to login. Rapido!.,nan,303262
Use 303418 as your OTP to login. Rapido!.,nan,303418
Authentication code: 758830. Keep it safe.,nan,758830
953220 - confirmation code for secure access.,nan,953220
Authentication code: 589155. Keep it safe.,nan,589155
233548 - confirmation code for secure access.,nan,233548
Authentication code: 297765. Keep it safe.,nan,297765
546341 - confirmation code for secure access.,nan,546341
Authentication code: 44096. Keep it safe.,nan,44096
Authentication code: 411020. Keep it safe.,nan,411020
932130 - confirmation code for secure access.,nan,932130
955547 - confirmation code for secure access.,nan,955547
Authentication code: 875692. Keep it safe.,nan,875692
Use 670760 as your OTP to login. Rapido!.,nan,670760
Use 781523 as your OTP to login. Rapido!.,nan,781523
89150 - confirmation code for secure access.,nan,89150
595188 - confirmation code for secure access.,nan,595188
Use 277648 as your OTP to login. Rapido!.,nan,277648
Use 741777 as your OTP to login. Rapido!.,nan,741777
442508 - confirmation code for secure access.,nan,442508
7092 - confirmation code for secure access.,nan,7092
Use 138801 as your OTP to login. Rapido!.,nan,138801
Use 295795 as your OTP to login. Rapido!.,nan,295795
348300 - confirmation code for secure access.,nan,348300
