Message,Extracted,Expected
"Dear Customer, otp to approve transaction of Rs. 4500 from your A/c No. ending 2483 to Zomato Ltd is 34037008. Do not share with anyone. -SBI",4500,34037008
"Dear Customer, otp to approve transaction of Rs. 50.0000 from your A/c No. ending 6618 to SBICAP SECURITIES LIMITED is 43391376. Do not share with anyone. -SBI",0000,43391376
"MPIN changed successfully @CANDI on 13-Apr-2022 at 21:53:35. If not you, send SUSPECT to 56161. Helpline 18004250018.-Canara Bank.",2022,nan
OTP Online Txn INR 395.30 PAYTM Indian Bank Debit card ending 4988 802853. Valid 3min. Dt 07-04-2022 12:00:41. Disclose.,4988,802853
Ecom Express Executive 08046809000 PIN 95362 deliver Flipkart order 8694021098. Pay Rs.953.57CASHUPIPayment Link. Code refuse 957881,95362,957881
"Dear user, Rs.135.25 spent at Flipkart using your A/c ...6722. Remaining Bal: Rs.12105.2. Total Bal: Rs.27599.87800056333. OTP: 712460. Axis Bank on 11-03-2024 01:04:06",6722,712460
"Dear user, Rs.4635.88 spent at Flipkart using your A/c ...5305. Remaining Bal: Rs.18443.02. Total Bal: Rs.56000.48688057769. OTP: 877219. Axis Bank on 05-05-2024 08:33:51",4635,877219
"Dear user, Rs.9494.94 spent at Flipkart using your A/c ...9946. Remaining Bal: Rs.125466.36. Total Bal: Rs.161640.38498804072. OTP: 175257. HDFC Bank on 11-08-2024 21:54:16",9494,175257
Mi Account 51249 verification code 927469. code valid 5 minutes.,51249,927469
Mi Account 874429 verification code 927469. code valid 5 minutes.,874429,927469
"Dear user, Rs.1599.7 spent at IRCTC using your A/c ...4893. Remaining Bal: Rs.198692.91. Total Bal: Rs.233831.2661719212. OTP: 699699. Axis Bank on 21-12-2024 04:56:31",1599,699699
ARRIVING TODAY: Delivery Agent 914954269606 bring order 1 Campus Flip Flops today. Use Pin 8485861106 prompted. His/her body temp. recorded 1:27 PM 96F. Pay Rs. 434.00 time delivery. ensure minimum contact delivery encourage UPI Card payment. delivery agent ensuring highest safety standards stay safe home. - Team Myntra.,,nan
ARRIVING TODAY: Delivery Agent 914954269489 bring order 1 Kook N Keech Marve... today. Use Pin 8485861106 prompted. His/her body temp. recorded 12:36 PM 95F. Pay Rs. 279.00 time delivery. ensure minimum contact delivery encourage UPI Card payment. delivery agent ensuring highest safety standards stay safe home. - Team Myntra.,,nan
ARRIVING TODAY: Delivery Agent 912241498065 bring order 1 HRX Hrithik Ros... today. Use Pin 7875313460 prompted. His/her body temp. recorded 11:17 97.6F. Pay Rs. 549.00 time delivery. ensure minimum contact delivery encourage UPI Card payment. delivery agent ensuring highest safety standards stay safe home. - Team Myntra.,,nan
"ARRIVING TODAY: Our Delivery Agent (+912241498037) will bring your order with 1 HRX by Hrithik Ros... today. Use Pin 7875313460 if prompted. His/her body temp. recorded at 11:14 AM was 97.7F. Pay Rs. 549.00 at the time of delivery. To ensure minimum contact delivery, we encourage UPI or Card payment. Our delivery agent is ensuring the highest safety standards so you can stay safe at home!. - Team Myntra.",,nan
WhatsApp: Your secret verification code is 908-618.,,908618
INR 2000 debited A/c 2533 ATM ATMD/SPCN5201/CHANDIGARH/23:11 Bal 572662.1707-04-2022 23:11:57. transaction unauthorized SMS BLOCK A/c BLOCK 8828837411 click /module/complaint-lodge-grievence lodge complaint. Punjab Sind Bank,2000,nan
OTP for Online Transactions: Indian Bank Debit Card 165970 129435. Valid for next 5 min.,165970,129435
Dear customer Flipkart Reverse pickup AWB 5962675448391 pickupcode 580025202 picked successfully. Status - Delhivery,,nan
"Dear Customer, OTP INITIATE E-MANDATE SBI REQUEST ID 919663 RS. 509501 A/C NO. XXXX4445 992137. DO NOT SHARE.",919663,992137
"Dear Customer, OTP INITIATE E-MANDATE SBI REQUEST ID 750511 RS. 492458 A/C NO. XXXX9237 443210. DO NOT SHARE.",750511,443210
"Dear Customer, OTP INITIATE E-MANDATE SBI REQUEST ID 184892 RS. 322180 A/C NO. XXXX1852 636900. DO NOT SHARE.",184892,636900
"Dear Customer, OTP INITIATE E-MANDATE SBI REQUEST ID 644176 RS. 448134 A/C NO. XXXX4677 462202. DO NOT SHARE.",644176,462202
"Dear Customer, OTP INITIATE E-MANDATE SBI REQUEST ID 357951 RS. 233232 A/C NO. XXXX4689 209226. DO NOT SHARE.",357951,209226
"Ecom Express Executive 08046809000 PIN 5233 will deliver your Flipkart order 9107791704. Pay Rs 1649.0(CASH,UPI,Payment Link). Code to refuse is 742029",5233,742029
"Dear Customer, OTP INITIATE E-MANDATE SBI REQUEST ID 386645 RS. 544295 A/C NO. XXXX6190 742563. DO NOT SHARE.",386645,742563
Dear Customer OTP INITIATE E-MANDATE SBI REQUEST ID TM2211929530101 RS. 500000.00 A/C NO. XXXX1899 716514. SHARE ANYONE. -SBI,500000,716514
"Ecom Express Executive 08046809000 PIN 95362 will deliver your Flipkart order 8694021098. Pay Rs 129.0(CASH,UPI,Payment Link). Code to refuse is 894359",95362,894359
"Dear Customer, OTP INITIATE E-MANDATE SBI REQUEST ID 527008 RS. 173809 A/C NO. XXXX7417 531986. DO NOT SHARE.",527008,531986
"Dear Customer, OTP INITIATE E-MANDATE SBI REQUEST ID 943360 RS. 556871 A/C NO. XXXX8461 619424. DO NOT SHARE.",943360,619424
