Message,Extracted,Expected
"MPIN changed successfully @CANDI on 13-Apr-2022 at 21:53:35. If not you, send SUSPECT to 56161. Helpline 18004250018.-Canara Bank.",56161,nan
OTP Online Txn INR 395.30 PAYTM Indian Bank Debit card ending 4988 802853. Valid 3min. Dt 07-04-2022 12:00:41. Disclose.,4988,802853
Ecom Express Executive 08046809000 PIN 95362 deliver Flipkart order 8694021098. Pay Rs.953.57CASHUPIPayment Link. Code refuse 957881,95362,957881
"Dear user, Rs.135.25 spent at Flipkart using your A/c ...6722. Remaining Bal: Rs.12105.2. Total Bal: Rs.27599.87800056333. OTP: 712460. Axis Bank on 11-03-2024 01:04:06",6722,712460
"Dear user, Rs.4635.88 spent at Flipkart using your A/c ...5305. Remaining Bal: Rs.18443.02. Total Bal: Rs.56000.48688057769. OTP: 877219. Axis Bank on 05-05-2024 08:33:51",5305,877219
"Dear user, Rs.9494.94 spent at Flipkart using your A/c ...9946. Remaining Bal: Rs.125466.36. Total Bal: Rs.161640.38498804072. OTP: 175257. HDFC Bank on 11-08-2024 21:54:16",9946,175257
Mi Account 51249 verification code 927469. code valid 5 minutes.,51249,927469
Mi Account 874429 verification code 927469. code valid 5 minutes.,874429,927469
"Dear user, Rs.1599.7 spent at IRCTC using your A/c ...4893. Remaining Bal: Rs.198692.91. Total Bal: Rs.233831.2661719212. OTP: 699699. Axis Bank on 21-12-2024 04:56:31",4893,699699
ARRIVING TODAY: Delivery Agent 912241498065 bring order 1 HRX Hrithik Ros... today. Use Pin 7875313460 prompted. His/her body temp. recorded 11:17 97.6F. Pay Rs. 549.00 time delivery. ensure minimum contact delivery encourage UPI Card payment. delivery agent ensuring highest safety standards stay safe home. - Team Myntra.,1797,nan
INR 2000 debited A/c 2533 ATM ATMD/SPCN5201/CHANDIGARH/23:11 Bal 572662.1707-04-2022 23:11:57. transaction unauthorized SMS BLOCK A/c BLOCK 8828837411 click /module/complaint-lodge-grievence lodge complaint. Punjab Sind Bank,2533,nan
OTP for Online Transactions: Indian Bank Debit Card 165970 129435. Valid for next 5 min.,165970,129435
"Dear Customer, OTP INITIATE E-MANDATE SBI REQUEST ID 919663 RS. 509501 A/C NO. XXXX4445 992137. DO NOT SHARE.",919663,992137
"Dear Customer, OTP INITIATE E-MANDATE SBI REQUEST ID 750511 RS. 492458 A/C NO. XXXX9237 443210. DO NOT SHARE.",750511,443210
"Dear Customer, OTP INITIATE E-MANDATE SBI REQUEST ID 184892 RS. 322180 A/C NO. XXXX1852 636900. DO NOT SHARE.",184892,636900
"Dear Customer, OTP INITIATE E-MANDATE SBI REQUEST ID 644176 RS. 448134 A/C NO. XXXX4677 462202. DO NOT SHARE.",644176,462202
"Dear Customer, OTP INITIATE E-MANDATE SBI REQUEST ID 357951 RS. 233232 A/C NO. XXXX4689 209226. DO NOT SHARE.",357951,209226
"Dear Customer, OTP INITIATE E-MANDATE SBI REQUEST ID 386645 RS. 544295 A/C NO. XXXX6190 742563. DO NOT SHARE.",386645,742563
"Dear Customer, OTP INITIATE E-MANDATE SBI REQUEST ID 527008 RS. 173809 A/C NO. XXXX7417 531986. DO NOT SHARE.",527008,531986
"Dear Customer, OTP INITIATE E-MANDATE SBI REQUEST ID 943360 RS. 556871 A/C NO. XXXX8461 619424. DO NOT SHARE.",943360,619424
"Dear Customer, OTP INITIATE E-MANDATE SBI REQUEST ID 218898 RS. 212115 A/C NO. XXXX6143 247155. DO NOT SHARE.",218898,247155
"MPIN changed successfully @CANDI on 13-Apr-2022 at 22:02:52. If not you, send SUSPECT to 56161. Helpline 18004250018.-Canara Bank.",56161,nan
Enjoy unlimited high-speed data 12 6 every day /ViNFR 1699:4GB/DUL84D 461337:1.5GB/DUL84D5GB28D,1699,nan
"Your a/c XXXXXXXXXXXX8571 is debited Rs. 1300.00 on 2/28/2022 10:12:26 PM to GOPINATH S .
info :P2A/205916770412 -KVB",202210,nan
Dear 63693822XX 5500 Bonus Superstar Daily finale Junglee Rummy Prize Pool: 720589 Entry Fees - Win -,5500,nan
OTP is:569045 08:23:43 PM 25-12-2021 Recurring Deposit Opening. SHARE OTP ANYONE. BANK NEVER CALLS VERIFY OTP -Karnataka Bank ologVzYY5V,56904508,569045
OTP is:877314 08:25:31 PM 25-12-2021 Recurring Deposit Opening. SHARE OTP ANYONE. BANK NEVER CALLS VERIFY OTP -Karnataka Bank ologVzYY5V,87731408,877314
Dear 63693822XX 5500 Bonus Superstar Daily finale Junglee Rummy Prize Pool: 205000 Entry Fees - Win -,5500,nan
OTP Online Transactions Indian Bank Debit Card 4988 JDS-159337.This valid next 5 min.Dt 07-04-22 12.17,4988,159337
Hi 63065557XX RPL 11 Finale Junglee Rummy Prize Pool: 620392 2.5CR Entry Fees - Win -,6203922,nan
Your SBI Debit Card ending with 8981 dispatched on 11042022 thru Speed Post No. EB049769289IN. Please follow instructions on welcome letter to generate your PIN,8981,nan
"Dear Customer, OTP INITIATE E-MANDATE SBI REQUEST ID 152086 RS. 582879 A/C NO. XXXX5888 198016. DO NOT SHARE.",152086,198016
OTP is:301303 12:56:38 PM 28-12-2021 Recurring Deposit Opening. SHARE OTP ANYONE. BANK NEVER CALLS VERIFY OTP -Karnataka Bank ologVzYY5V,30130312,301303
OTP is:947617 12:34:27 PM 13-01-2022 Recurring Deposit Opening. SHARE OTP ANYONE. BANK NEVER CALLS VERIFY OTP -Karnataka Bank ologVzYY5V,94761712,947617
"Hi Sp davawala,


Thanks for your interest in Spinny. Your 2018 Maruti Suzuki Eeco's FREE DOORSTEP EVALUATION is waiting for you. Please click weurl.co/jk45BH.


With SellRight by Spinny, you get benefits of INSTANT PAYMENT, FREE RC TRANSFER and more!


You can call us on 727 727 7275 if you need any assistance.


SellRight by Spinny",727727,nan
got request linking account UPI 366740. kindly contact bank helpline no. 1-800-102-4455 immediately. - Bank Baroda,366740,nan
"Dear Customer, OTP INITIATE E-MANDATE SBI REQUEST ID 638300 RS. 809774 A/C NO. XXXX6510 466626. DO NOT SHARE.",638300,466626
Thank you for shopping on Meesho! We'd love to hear your feedback on the item purchased. Click here sprw.io/sntt-2e1caf?o_id=836911286&u_id=7733613 Meesho,7733613,nan
INR 2000 debited A/c 2533 ATM ATMD/SPCN5201/CHANDIGARH/23:11 Bal 42858.1707-04-2022 23:11:57. transaction unauthorized SMS BLOCK A/c BLOCK 8828837411 click /module/complaint-lodge-grievence lodge complaint. Punjab Sind Bank,2533,nan
otp for Online Transactions on your Indian Bank Debit Card 4988 is KQS-548142.This is valid for the next 5 min.Dt 21-04-22 11.38,4988,548142
Slot Booking/Cancellation for Application: 236315,236315,nan
OTP for Online Transactions: Indian Bank Debit Card 595852 939376. Valid for next 5 min.,595852,939376
